,Ticker,Entry,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,TTM,,,
,,Cash from Financing Activity +,365.00,692.00,-528.00,12976.00,4138.00,772.00,-237.00,2170.00,-1325.00,-1889.00,2313.00,-4256.00,,,,
,,Net Cash Flow,336.00,-61.00,-289.00,300.00,381.00,-606.00,335.00,398.00,109.00,-127.00,3975.00,2397.00,,,,
,,,,,,,,,,,,,,,,,,
2,ASIANPAINT,,,,,,,,,,,,,,,,,
,pnl,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,TTM,,,
,,Sales +,5260.00,6434.00,7403.00,9231.00,10504.00,12220.00,13615.00,14271.00,15062.00,16825.00,19240.00,20211.00,18329.00,,,
,,Expenses +,4587.00,5198.00,6072.00,7720.00,8767.00,10227.00,11400.00,11546.00,12068.00,13621.00,15475.00,16049.00,14545.00,,,
,,Operating Profit,673.00,1236.00,1331.00,1511.00,1737.00,1994.00,2215.00,2725.00,2994.00,3204.00,3765.00,4162.00,3784.00,,,
,,OPM %,0.13,0.19,0.18,0.16,0.17,0.16,0.16,0.19,0.20,0.19,0.20,0.21,0.21,,,
,,Other Income,51.00,142.00,68.00,107.00,114.00,134.00,170.00,213.00,338.00,336.00,274.00,355.00,290.00,,,
,,Interest,32.00,37.00,26.00,43.00,42.00,48.00,42.00,49.00,37.00,41.00,110.00,108.00,90.00,,,
,,Depreciation,74.00,84.00,113.00,121.00,155.00,246.00,266.00,276.00,335.00,360.00,622.00,780.00,776.00,,,
,,Profit before tax,617.00,1257.00,1260.00,1454.00,1655.00,1834.00,2077.00,2614.00,2960.00,3138.00,3306.00,3629.00,3208.00,,,
,,Tax %,0.32,0.30,0.30,0.30,0.30,0.31,0.31,0.32,0.32,0.33,0.33,0.24,,,,
,,Net Profit,398.00,836.00,843.00,989.00,1114.00,1219.00,1395.00,1745.00,1939.00,2039.00,2156.00,2705.00,2275.00,,,
,,EPS in Rs,4.15,8.71,8.79,10.31,11.61,12.71,14.54,18.19,20.22,21.26,22.48,28.20,23.73,,,
,,Dividend Payout %,0.42,0.31,0.36,0.39,0.40,0.42,0.42,0.41,0.51,0.41,0.47,0.43,,,,
,,,,,,,,,,,,,,,,,,
,bs,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,44075.00,,,
,,Share Capital +,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,,,
,,Reserves,1107.00,1614.00,2092.00,2653.00,3288.00,3943.00,4646.00,6429.00,7508.00,8314.00,9375.00,10034.00,10934.00,,,
,,Borrowings,309.00,229.00,233.00,341.00,251.00,249.00,418.00,323.00,560.00,533.00,1320.00,1118.00,1079.00,,,
,,Other Liabilities +,1321.00,1845.00,2190.00,2623.00,3149.00,3787.00,3754.00,3711.00,4241.00,4820.00,5459.00,4889.00,5263.00,,,
,,Total Liabilities,2833.00,3785.00,4611.00,5712.00,6784.00,8075.00,8914.00,10559.00,12405.00,13763.00,16249.00,16138.00,17371.00,,,
,,Fixed Assets +,864.00,910.00,1310.00,1301.00,2441.00,2562.00,2660.00,3416.00,3304.00,3732.00,6497.00,6272.00,6037.00,,,
,,CWIP,92.00,407.00,43.00,617.00,59.00,72.00,196.00,107.00,258.00,1405.00,210.00,140.00,148.00,,,
,,Investments,78.00,624.00,429.00,355.00,296.00,1424.00,1588.00,2712.00,2652.00,2141.00,2569.00,2019.00,3345.00,,,
,,Other Assets +,1799.00,1844.00,2828.00,3440.00,3989.00,4019.00,4471.00,4324.00,6192.00,6485.00,6974.00,7707.00,7841.00,,,
,,Total Assets,2833.00,3785.00,4611.00,5712.00,6784.00,8075.00,8914.00,10559.00,12405.00,13763.00,16249.00,16138.00,17371.00,,,
,,,,,,,,,,,,,,,,,,
,cf,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,,,,
,,Cash from Operating Activity +,402.00,1063.00,762.00,710.00,1187.00,1402.00,1188.00,2243.00,1527.00,2113.00,2470.00,2632.00,,,,
,,Cash from Investing Activity +,-270.00,-304.00,-439.00,-386.00,-463.00,-586.00,-465.00,-866.00,-681.00,-1556.00,-918.00,-518.00,,,,
,,Cash from Financing Activity +,-230.00,-332.00,-334.00,-327.00,-601.00,-626.00,-576.00,-849.00,-756.00,-1379.00,-1117.00,-2465.00,,,,
,,Net Cash Flow,-99.00,427.00,-11.00,-2.00,123.00,190.00,147.00,528.00,90.00,-822.00,434.00,-351.00,,,,
,,,,,,,,,,,,,,,,,,
3,AXISBANK,,,,,,,,,,,,,,,,,
,pnl,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,TTM,,,
,,Revenue,10829.00,11639.00,15155.00,21995.00,27202.00,30736.00,35727.00,41409.00,45175.00,46614.00,56044.00,63716.00,65567.00,,,
,,Interest,7149.00,6633.00,8589.00,13969.00,17513.00,18703.00,21341.00,24344.00,26789.00,27604.00,33883.00,37996.00,37497.00,,,
,,Expenses +,3696.00,4909.00,5840.00,6895.00,8534.00,9930.00,11518.00,13869.00,24323.00,29700.00,27995.00,35971.00,38474.00,,,
,,Financing Profit,-16.00,97.00,727.00,1131.00,1155.00,2103.00,2868.00,3196.00,-5937.00,-10689.00,-5835.00,-10251.00,-10404.00,,,
,,Financing Margin %,0.00,0.01,0.05,0.05,0.04,0.07,0.08,0.08,-0.13,-0.23,-0.10,-0.16,-0.16,,,
,,Other Income,2989.00,3960.00,4664.00,5487.00,6828.00,7752.00,8834.00,9955.00,12418.00,11846.00,14164.00,16337.00,15104.00,,,
,,Depreciation,190.00,238.00,294.00,348.00,359.00,375.00,420.00,461.00,527.00,591.00,737.00,806.00,0.00,,,
,,Profit before tax,2783.00,3819.00,5097.00,6270.00,7625.00,9479.00,11283.00,12690.00,5954.00,566.00,7592.00,5280.00,4700.00,,,
,,Tax %,0.35,0.35,0.34,0.33,0.31,0.33,0.34,0.34,0.33,0.18,0.34,0.64,,,,
,,Net Profit,1813.00,2478.00,3340.00,4220.00,5235.00,6310.00,7448.00,8350.00,3953.00,456.00,5039.00,1853.00,3549.00,,,
,,EPS in Rs,10.10,12.23,16.27,20.42,22.37,26.86,31.42,35.04,16.51,1.78,19.59,6.57,12.08,,,
,,Dividend Payout %,0.20,0.20,0.17,0.16,0.16,0.15,0.15,0.14,0.30,0.00,0.05,0.00,,,,
,,,,,,,,,,,,,,,,,,
,bs,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,,,,
,,Share Capital +,359.00,405.00,411.00,413.00,468.00,470.00,474.00,477.00,479.00,513.00,514.00,564.00,,,,
,,Reserves,9837.00,15584.00,18484.00,22269.00,32690.00,37926.00,44475.00,53082.00,55901.00,63694.00,67288.00,85776.00,,,,
,,Borrowings,132878.00,158448.00,215434.00,254059.00,296254.00,333280.00,406638.00,472150.00,527437.00,611425.00,711996.00,797337.00,,,,
,,Other Liabilities +,4624.00,6150.00,8238.00,8675.00,11145.00,14674.00,15656.00,20678.00,27644.00,28071.00,34248.00,44194.00,,,,
,,Total Liabilities,147697.00,180587.00,242567.00,285417.00,340558.00,386350.00,467243.00,546387.00,611462.00,703703.00,814046.00,927872.00,,,,
,,Fixed Assets +,1025.00,1179.00,2270.00,2204.00,2245.00,2346.00,2447.00,3358.00,3518.00,3697.00,3842.00,3912.00,,,,
,,CWIP,58.00,57.00,23.00,80.00,142.00,102.00,105.00,216.00,292.00,352.00,288.00,483.00,,,,
,,Investments,46272.00,55877.00,71788.00,92921.00,113378.00,113093.00,118527.00,131399.00,129018.00,153037.00,174056.00,155282.00,,,,
,,Other Assets +,100343.00,123474.00,168486.00,190211.00,224792.00,270810.00,346164.00,411414.00,478633.00,546618.00,635860.00,768196.00,,,,
,,Total Assets,147697.00,180587.00,242567.00,285417.00,340558.00,386350.00,467243.00,546387.00,611462.00,703703.00,814046.00,927872.00,,,,
,,,,,,,,,,,,,,,,,,
,cf,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,,,,
,,Cash from Operating Activity +,10346.00,150.00,11328.00,-9904.00,2573.00,14464.00,-15162.00,-34495.00,32209.00,-38390.00,37125.00,30416.00,,,,
,,Cash from Investing Activity +,-9525.00,-5096.00,-13894.00,-4840.00,-10939.00,-14166.00,-7972.00,9211.00,-12458.00,-10007.00,-18674.00,-9485.00,,,,
,,Cash from Financing Activity +,1692.00,5132.00,8770.00,7270.00,14931.00,7785.00,31045.00,22495.00,-2487.00,41342.00,5643.00,8865.00,,,,
,,Net Cash Flow,2514.00,186.00,6203.00,-7474.00,6566.00,8082.00,7910.00,-2789.00,17263.00,-7055.00,24094.00,29795.00,,,,
,,,,,,,,,,,,,,,,,,
4,BAJAJ-AUTO,,,,,,,,,,,,,,,,,
,pnl,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,TTM,,,
,,Sales +,8427.00,11525.00,16408.00,19582.00,20025.00,20137.00,21595.00,22574.00,21755.00,25210.00,30358.00,29919.00,24691.00,,,
,,Expenses +,7777.00,9543.00,13249.00,15901.00,16377.00,15982.00,17663.00,17786.00,17331.00,20377.00,25168.00,24823.00,20529.00,,,
,,Operating Profit,650.00,1982.00,3158.00,3681.00,3648.00,4155.00,3932.00,4788.00,4424.00,4833.00,5190.00,5096.00,4161.00,,,
,,OPM %,0.08,0.17,0.19,0.19,0.18,0.21,0.18,0.21,0.20,0.19,0.17,0.17,0.17,,,
,,Other Income,324.00,459.00,1406.00,502.00,797.00,682.00,425.00,1199.00,1473.00,1417.00,2036.00,1846.00,1684.00,,,
,,Interest,22.00,7.00,2.00,23.00,1.00,1.00,6.00,1.00,1.00,1.00,4.00,3.00,5.00,,,
,,Depreciation,131.00,137.00,124.00,147.00,168.00,181.00,267.00,307.00,307.00,315.00,266.00,246.00,253.00,,,
,,Profit before tax,821.00,2298.00,4438.00,4013.00,4277.00,4655.00,4083.00,5679.00,5588.00,5933.00,6956.00,6692.00,5587.00,,,
,,Tax %,0.35,0.30,0.23,0.25,0.29,0.31,0.31,0.28,0.27,0.29,0.29,0.22,,,,
,,Net Profit,536.00,1597.00,3455.00,3049.00,3133.00,3380.00,3026.00,4061.00,4079.00,4219.00,4928.00,5212.00,4266.00,,,
,,EPS in Rs,18.51,55.19,119.39,105.35,108.26,116.82,104.56,140.35,140.98,145.80,170.29,180.11,147.42,,,
,,Dividend Payout %,0.59,0.36,0.34,0.43,0.42,0.43,0.48,0.39,0.39,0.41,0.35,0.67,,,,
,,,,,,,,,,,,,,,,,,
,bs,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,44075.00,,,
,,Share Capital +,145.00,145.00,289.00,289.00,289.00,289.00,289.00,289.00,289.00,289.00,289.00,289.00,289.00,,,
,,Reserves,1668.00,2572.00,4518.00,5792.00,7776.00,9878.00,10806.00,13731.00,17567.00,20136.00,22944.00,21373.00,23430.00,,,
,,Borrowings,1595.00,1361.00,347.00,150.00,116.00,59.00,112.00,118.00,120.00,121.00,125.00,126.00,126.00,,,
,,Other Liabilities +,2458.00,2865.00,3994.00,4894.00,4461.00,5081.00,4758.00,3102.00,3661.00,4595.00,5476.00,4722.00,5553.00,,,
,,Total Liabilities,5866.00,6942.00,9149.00,11126.00,12642.00,15308.00,15966.00,17240.00,21638.00,25141.00,28834.00,26510.00,29399.00,,,
,,Fixed Assets +,1914.00,1812.00,1855.00,1920.00,2355.00,2660.00,2448.00,2026.00,2002.00,1878.00,1764.00,1699.00,1672.00,,,
,,CWIP,22.00,42.00,70.00,42.00,294.00,144.00,255.00,52.00,42.00,56.00,48.00,60.00,58.00,,,
,,Investments,1423.00,3445.00,4211.00,4473.00,6059.00,8448.00,8985.00,11067.00,15477.00,18895.00,20603.00,19914.00,21844.00,,,
,,Other Assets +,2507.00,1643.00,3013.00,4692.00,3934.00,4056.00,4277.00,4095.00,4117.00,4312.00,6420.00,4837.00,5824.00,,,
,,Total Assets,5866.00,6942.00,9149.00,11126.00,12642.00,15308.00,15966.00,17240.00,21638.00,25141.00,28834.00,26510.00,29399.00,,,
,,,,,,,,,,,,,,,,,,
,cf,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,,,,
,,Cash from Operating Activity +,329.00,2564.00,1639.00,3246.00,2218.00,3502.00,2114.00,3690.00,3267.00,4328.00,2487.00,3850.00,,,,
,,Cash from Investing Activity +,-173.00,-1935.00,-627.00,-850.00,-1394.00,-2072.00,-380.00,-68.00,-3610.00,-1954.00,-273.00,1766.00,,,,
,,Cash from Financing Activity +,-84.00,-664.00,-871.00,-1462.00,-1445.00,-1496.00,-1644.00,-3384.00,-190.00,-1885.00,-2074.00,-6247.00,,,,
,,Net Cash Flow,71.00,-35.00,141.00,934.00,-621.00,-66.00,90.00,238.00,-532.00,488.00,140.00,-630.00,,,,
,,,,,,,,,,,,,,,,,,
5,BAJFINANCE,,,,,,,,,,,,,,,,,
,pnl,,,,,,,,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,TTM,,,
,,Revenue,,,,,,,5392.00,7299.00,9970.00,12746.00,18487.00,26375.00,27411.00,,,
,,Interest,,,,,,,2274.00,2959.00,3853.00,4696.00,6723.00,9608.00,9892.00,,,
,,Expenses +,,,,,,,1752.00,2354.00,3250.00,4115.00,5454.00,9159.00,11155.00,,,
,,Financing Profit,,,,,,,1367.00,1986.00,2867.00,3935.00,6310.00,7609.00,6363.00,,,
,,Financing Margin %,,,,,,,0.25,0.27,0.29,0.31,0.34,0.29,0.23,,,
,,Other Income,,,,,,,26.00,35.00,22.00,10.00,13.00,8.00,17.00,,,
,,Depreciation,,,,,,,36.00,56.00,71.00,102.00,144.00,295.00,317.00,,,
,,Profit before tax,,,,,,,1357.00,1965.00,2817.00,3843.00,6179.00,7322.00,6063.00,,,
,,Tax %,,,,,,,0.34,0.35,0.35,0.35,0.35,0.28,,,,
,,Net Profit,,,,,,,898.00,1279.00,1836.00,2496.00,3995.00,5264.00,4489.00,,,
,,EPS in Rs,,,,,,,17.90,23.74,33.40,43.19,69.12,87.48,74.59,,,
,,Dividend Payout %,,,,,,,0.10,0.10,0.11,0.09,0.09,0.11,,,,
,,,,,,,,,,,,,,,,,,
,bs,,,,,,,,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,44075.00,,,
,,Share Capital +,,,,,,,50.00,54.00,109.00,115.00,115.00,120.00,120.00,,,
,,Reserves,,,,,,,4750.00,7271.00,9491.00,15733.00,19582.00,32208.00,34164.00,,,
,,Borrowings,,,,,,,26655.00,37025.00,49250.00,66557.00,101588.00,129806.00,124900.00,,,
,,Other Liabilities +,,,,,,,1325.00,2624.00,4881.00,2393.00,2948.00,2257.00,3253.00,,,
,,Total Liabilities,,,,,,,32780.00,46973.00,63731.00,84798.00,124233.00,164391.00,162437.00,,,
,,Fixed Assets +,,,,,,,252.00,290.00,366.00,470.00,695.00,1321.00,1285.00,,,
,,CWIP,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
,,Investments,,,,,,,326.00,1029.00,4070.00,3139.00,8599.00,17544.00,23365.00,,,
,,Other Assets +,,,,,,,32201.00,45654.00,59295.00,81189.00,114939.00,145526.00,137788.00,,,
,,Total Assets,,,,,,,32780.00,46973.00,63731.00,84798.00,124233.00,164391.00,162437.00,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,cf,,,,,,,,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,,,,
,,Cash from Operating Activity +,,,,,,,-7064.00,-9870.00,-10439.00,-20566.00,-29062.00,-24426.00,,,,
,,Cash from Investing Activity +,,,,,,,-360.00,-687.00,-3047.00,1075.00,-5379.00,-8757.00,,,,
,,Cash from Financing Activity +,,,,,,,6867.00,11656.00,12513.00,19503.00,34449.00,34181.00,,,,
,,Net Cash Flow,,,,,,,-557.00,1100.00,-972.00,13.00,9.00,998.00,,,,
,,,,,,,,,,,,,,,,,,
6,BAJAJFINSV,,,,,,,,,,,,,,,,,
,pnl,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,TTM,,,
,,Revenue,378.00,982.00,2415.00,2715.00,8055.00,6023.00,11335.00,20533.00,24507.00,32862.00,42605.00,54351.00,57093.00,,,
,,Interest,0.00,0.00,301.00,744.00,1204.00,1562.00,2230.00,2877.00,3716.00,4531.00,6657.00,9500.00,9707.00,,,
,,Expenses +,215.00,171.00,615.00,920.00,4124.00,1531.00,5819.00,13795.00,15794.00,22074.00,27569.00,36094.00,38765.00,,,
,,Financing Profit,163.00,811.00,1499.00,1050.00,2728.00,2930.00,3286.00,3862.00,4997.00,6257.00,8379.00,8758.00,8620.00,,,
,,Financing Margin %,0.43,0.83,0.62,0.39,0.34,0.49,0.29,0.19,0.20,0.19,0.20,0.16,0.15,,,
,,Other Income,7.00,3.00,168.00,1190.00,2.00,3.00,3.00,0.00,0.00,1.00,2.00,1.00,7.00,,,
,,Depreciation,30.00,22.00,19.00,14.00,22.00,31.00,38.00,58.00,73.00,160.00,226.00,457.00,483.00,,,
,,Profit before tax,140.00,792.00,1649.00,2226.00,2708.00,2902.00,3251.00,3804.00,4925.00,6099.00,8155.00,8302.00,8145.00,,,
,,Tax %,0.55,0.12,0.11,0.15,0.18,0.24,0.26,0.27,0.30,0.32,0.34,0.28,,,,
,,Net Profit,71.00,559.00,1115.00,1338.00,1574.00,1544.00,1690.00,1863.00,2262.00,2650.00,3219.00,3369.00,3522.00,,,
,,EPS in Rs,4.48,35.12,70.03,84.03,98.89,97.05,106.19,117.09,142.14,166.54,202.28,211.71,221.29,,,
,,Dividend Payout %,0.20,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,,,,
,,,,,,,,,,,,,,,,,,
,bs,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,44075.00,,,
,,Share Capital +,72.00,72.00,72.00,72.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,,,
,,Reserves,2518.00,2553.00,3652.00,5027.00,7724.00,9232.00,10885.00,13312.00,15736.00,20403.00,23660.00,31222.00,33608.00,,,
,,Borrowings,2111.00,311.00,6693.00,10201.00,12991.00,19507.00,26312.00,36062.00,48282.00,65695.00,99754.00,126606.00,122040.00,,,
,,Other Liabilities +,17833.00,36447.00,43599.00,44154.00,44576.00,45565.00,50952.00,54498.00,64516.00,75337.00,84934.00,93397.00,105352.00,,,
,,Total Liabilities,22535.00,39383.00,54017.00,59454.00,65370.00,74383.00,88228.00,103951.00,128614.00,161514.00,208428.00,251304.00,261079.00,,,
,,Fixed Assets +,14314.00,28782.00,580.00,818.00,1208.00,1262.00,1261.00,1274.00,1645.00,1792.00,2097.00,3216.00,3206.00,,,
,,CWIP,119.00,55.00,14.00,18.00,2.00,1.00,3.00,11.00,4.00,28.00,66.00,45.00,19.00,,,
,,Investments,6595.00,8940.00,43127.00,43506.00,43251.00,45314.00,51367.00,53698.00,62658.00,69428.00,81679.00,91821.00,108435.00,,,
,,Other Assets +,1506.00,1606.00,10296.00,15113.00,20910.00,27805.00,35598.00,48969.00,64306.00,90266.00,124587.00,156223.00,149418.00,,,
,,Total Assets,22535.00,39383.00,54017.00,59454.00,65370.00,74383.00,88228.00,103951.00,128614.00,161514.00,208428.00,251304.00,261079.00,,,
,,,,,,,,,,,,,,,,,,
,cf,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,,,,
,,Cash from Operating Activity +,6964.00,6621.00,239.00,-3849.00,-6922.00,-9807.00,-10731.00,-9795.00,-10922.00,-19580.00,-27076.00,-23369.00,,,,
,,Cash from Investing Activity +,-7052.00,-6843.00,-3011.00,-887.00,2953.00,3764.00,3709.00,-886.00,151.00,-922.00,-6903.00,-9948.00,,,,
,,Cash from Financing Activity +,-15.00,2.00,3289.00,3803.00,4592.00,6521.00,6839.00,11602.00,12513.00,19590.00,34535.00,34479.00,,,,
,,Net Cash Flow,-103.00,-221.00,518.00,-933.00,623.00,478.00,-183.00,921.00,1742.00,-911.00,555.00,1162.00,,,,
,,,,,,,,,,,,,,,,,,
7,BPCL,,,,,,,,,,,,,,,,,
,pnl,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,TTM,,,
,,Sales +,135239.00,123194.00,153765.00,212140.00,242181.00,264421.00,242598.00,187815.00,201251.00,235895.00,298226.00,284572.00,231365.00,,,
,,Expenses +,131392.00,120001.00,149115.00,207221.00,235316.00,255007.00,232818.00,174844.00,187468.00,220578.00,283113.00,276179.00,219601.00,,,
,,Operating Profit,3847.00,3194.00,4650.00,4918.00,6865.00,9414.00,9780.00,12971.00,13783.00,15317.00,15112.00,8393.00,11764.00,,,
,,OPM %,0.03,0.03,0.03,0.02,0.03,0.04,0.04,0.07,0.07,0.06,0.05,0.03,0.05,,,
,,Other Income,952.00,2148.00,1336.00,1351.00,1337.00,1344.00,2117.00,1913.00,2721.00,2927.00,2975.00,1976.00,1136.00,,,
,,Interest,2404.00,1125.00,1266.00,2259.00,2518.00,1982.00,1180.00,680.00,696.00,1186.00,1764.00,2637.00,2114.00,,,
,,Depreciation,1262.00,1445.00,1891.00,2411.00,2463.00,2611.00,3027.00,2072.00,2108.00,2885.00,3418.00,4080.00,4223.00,,,
,,Profit before tax,1133.00,2772.00,2829.00,1599.00,3220.00,6166.00,7690.00,12132.00,13700.00,14174.00,12905.00,3652.00,6563.00,,,
,,Tax %,0.36,0.38,0.38,0.47,0.40,0.34,0.34,0.33,0.31,0.31,0.34,0.00,,,,
,,Net Profit,634.00,1632.00,1635.00,781.00,1881.00,3911.00,4807.00,8089.00,8721.00,9009.00,7802.00,3055.00,4227.00,,,
,,EPS in Rs,2.92,7.53,7.54,3.60,8.67,18.03,22.16,37.29,40.20,41.53,35.97,14.08,19.48,,,
,,Dividend Payout %,0.47,0.34,0.35,0.55,0.42,0.31,0.34,0.25,0.49,0.46,0.48,1.06,,,,
,,,,,,,,,,,,,,,,,,
,bs,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,44075.00,,,
,,Share Capital +,362.00,362.00,362.00,362.00,723.00,723.00,723.00,656.00,1311.00,1967.00,1967.00,1967.00,1967.00,,,
,,Reserves,12950.00,13781.00,14989.00,15518.00,16052.00,18703.00,21825.00,27138.00,30033.00,35108.00,37255.00,35022.00,38093.00,,,
,,Borrowings,24239.00,26692.00,25038.00,30153.00,33157.00,33152.00,25492.00,23388.00,35725.00,37659.00,44839.00,65476.00,49266.00,,,
,,Other Liabilities +,16523.00,20944.00,26402.00,31781.00,29696.00,35882.00,38281.00,35241.00,42017.00,45621.00,52866.00,48395.00,62742.00,,,
,,Total Liabilities,54073.00,61779.00,66791.00,77814.00,79628.00,88460.00,86322.00,86422.00,109086.00,120356.00,136926.00,150860.00,152068.00,,,
